username,tanggal,rating,clean_text,skor_sentimen,label,word_count
Samsul Huda,2025-04-18 23:25:38,5,ini si aplikasinya keren kalo kata gw,2,positif,7
Bin Salli,2025-04-18 18:55:12,2,ada sebagian coin yg ga bisa pakai limit order,-3,negatif,9
Deni Lotus,2025-04-18 12:25:46,4,mohon dikurangin untuk biaya jual beli transaksi karena transfer saja kita sudah kena biaya belum lagi penarikan dana kita masih lagi harus menambah biaya,-15,negatif,24
Muhammad Anwar,2025-04-18 12:02:37,5,Masih awal sedikit adaptasi diperlukan semoga kedepannya bisa mempertahankannya,-4,negatif,9
cahap rajak,2025-04-18 11:55:37,1,apaan di portofolio nya uang gua masih ada tapi pas mau tarik gabisa malah tinggal rupiah lagi sisanya tolong dong jangan kayak penipuan gini,-23,negatif,24
Zulkifli Bebbets,2025-04-18 10:38:19,5,cukup mudah di gunakan sedikit masukan kalau bisah pasar saham di tambah agar saham yang ingin di beli bisah di pilih,-11,negatif,21
Samsul Anwar,2025-04-18 08:29:06,2,tolong di perbaiki soal nya pada saat trading di crypto aturan dapet puluhan juta jadi cuma ratusan rb aja karna chart pergerakan marketnya nya telat terus,-11,negatif,26
dieta putri,2025-04-18 07:57:20,5,aplikasi bagus cuma saran saya apabila ada aset yang akan di delete dari Pluang tolong pemberitahuannya minggu bulan sebelum aset di hapus,-30,negatif,22
Adhit sopo jarwo,2025-04-18 03:43:57,5,platfrom terbaik puas untuk pelayanannya,8,positif,5
Sang Trader,2025-04-18 02:26:01,5,aplikasi nya top bagus suka keren semoga makin sukses peluang saya inves kalau punya uang saya suka kripto dan saham as top keren saya selalu Invest saham disini keamanan akun aman untung rugi biasa namanya pasar modal tapi peluang jujur tidak terlalu banyak rugi yang saya dapatkan dan pasti ada profit jika analisis benar penarikan cepat layar keren pokok nya enak di analisis dan sudah ojk chart trader view keren,-23,negatif,70
Google user,2025-04-18 01:57:41,5,dari aplikasi lain menurut saya ini yang paling simple,-12,negatif,9
Suparli Nianto,2025-04-18 01:41:57,3,gan bs dibantu saya lupa Pin dan tertulis verifikasi e mail dan saya check E mail tp tidak masuk di E mail saya,-17,negatif,23
Arull Kolaka,2025-04-17 20:26:11,1,habis update mau top up malah gak bisa bri harus bank Pratama mana potongan nya gede lagi b,-13,negatif,18
Dicky Melandri,2025-04-17 15:24:51,5,aplikasi ini sangat membantu bagi pemula,-12,negatif,6
afif dwiramadhan,2025-04-17 14:30:31,5,aplikasi yang mudah di pahami,-7,negatif,5
yogi saputra,2025-04-17 12:12:44,5,jangan bertele tele pilih aplikasi kalau mau download kalau ngga jangan tapi ini aplikasi yg rekomen di download buat investasi,-20,negatif,20
MR 17,2025-04-16 17:34:07,5,tambahin dong di menu top up nya tambahin qriss biar enak,-4,negatif,11
Ida bgs praja,2025-04-16 14:25:37,5,Aplikasi ini sangat bagusss dan sangat bermanfaat untuk digunakan,5,positif,9
Demus Bjgn,2025-04-16 13:00:01,5,Hanya saja uang sering berkurang walau cuman receh koin,-10,negatif,9
Farid Ramadhan,2025-04-16 12:43:54,1,Jelek saya pakai akun utama saya dan belum verifikasi setelah saya hapus app lalu download lagi dan saya lupa pinnya disitu saya tekan lupa pin masa harus verifikasi dulu emailnya sebelum ganti pin saya kesusahan untuk daftar ulang ke pluang cuman karena masalah iniiiii saya pakai akun utama apalagi nomor cuman satu,-57,negatif,52
Min Parmin,2025-04-16 10:53:28,5,apk peluang EMG yg terbaik,5,positif,5
ANGGA,2025-04-16 02:18:42,5,aplikasi bagus simpel dan cepat,5,positif,5
Dingdong Dong 21,2025-04-15 18:13:48,3,Ahh gak mudeng saya top up di peluang terllalu rumit makek dana gak bisa ya,3,positif,15
bambang Bagusni,2025-04-15 18:08:22,5,yg penting berguna oke,3,positif,4
Reza AN,2025-04-15 15:12:27,4,Exchange dengan UI paling bagus dan gak ribet sayangnya masih ada koin yang gak ke list seperti FARTCoin dsb,-13,negatif,19
azidhan 02,2025-04-15 13:40:41,1,sistem likuidasi sepihak sangatlah merugikan apalagi diposisi market pas lagi anjlok SANGAT MERUGIKAN,-14,negatif,13
Safirul Hidayah,2025-04-15 12:02:21,1,saya sudah daftar akun kk TPI kok GK bisa masuk ya mau login malah suruh daftar lagi,-16,negatif,17
Syahroni M.Y.,2025-04-15 11:20:01,5,baru memulai semoga berfungsi dengan baik,2,positif,6
Rio Susilo Anggoro,2025-04-15 07:57:39,5,aplikasi yg menurut saya kekinian di thn mudah simple interface bagus top pokok nya dari pada aplikasi lain deposit pakai minimal dan penarikan jiga pakai minimal disini berapapun bisa akses cepat cocok untuk anak muda yg mau investasi di thn ini jooossssssssss pokok nya dah,-20,negatif,45
Surya Aanda,2025-04-15 07:47:10,1,selalu ada kendar saat tranfer koin,-3,negatif,6
Samsul Hadi,2025-04-15 07:45:41,5,aplikasi yg sangat bagus dan mudah dipahami,3,positif,7
11. Fathan Ahmad Syahdewa,2025-04-15 07:27:52,5,sejauh ini sudah sangat baik aplikasinya tetapi kalau bisa untuk tarik tunai ditambah untuk tarik ke E wallet agar dgn portofolio sedikit bisa mudah dalam tarik menarik terutama untuk pemula,8,positif,30
My name Is Alfafa,2025-04-15 06:30:22,3,kenapa tidak bisa di sambung kan ke gopay tolong admin betulin penyambungan ke bank atau e money,-10,negatif,17
aldy nugraha,2025-04-15 04:50:46,5,Kepada direktur pluang Tolong jangan jualan emas digital aja perak juga logam mulia bukan emas aja cuman ada ETF perak SLV,-11,negatif,21
Muhamad Farid Arsyad,2025-04-15 01:37:44,1,dana saya hilang di aplikasi ini,-7,negatif,6
Lutfi Aryagunawan,2025-04-14 17:38:46,5,apk ini sangat bagus untuk seseorang memulai langkah untuk berinvestasi diusia muda,5,positif,12
Media00,2025-04-14 07:05:27,5,aplikasi pluang memang the best sangat bagus dan ringan,-1,negatif,9
Noel Polii,2025-04-14 07:01:58,5,engga bisa berkata kata sama peluang,2,positif,6
Robi Azqa,2025-04-14 06:59:53,1,harga di chart saat mau beli dan jual beda,-2,negatif,9
Antonius Kristanto,2025-04-14 06:39:08,2,proses penarikan dari saham luar negri kenapa bisa berhari hari ya sampai sekarang belum masuk dolar nya,-5,negatif,17
RIZKI FAUZI,2025-04-14 04:18:57,4,kalo mau narik harus nambahin rekening bank nama harus sesuai sama kartu id,-5,negatif,13
Setyo Nugroho,2025-04-14 03:45:24,4,Nitip data dan tabungan ya min jangan disalah gunakan,-5,negatif,9
Muhammad Akmal Apriansyah,2025-04-14 02:54:13,5,baik bagus dan tepat,5,positif,4
Maryo Suyatna,2025-04-13 18:19:53,5,aplikasi ini mudah di gunakan dan di mengerti bagi saya yang masih pemula belajar trading semoga tidak ada kendala dalam menggunakan aplikasi ini,-24,negatif,23
MUHAMAD ADRIANSYAH,2025-04-13 15:46:29,4,fee nya terlalu mahal,-2,negatif,4
Supian Azha,2025-04-13 11:05:43,5,saham mudah di mengerti paling murah,-2,negatif,6
Jhonny Legimin,2025-04-13 10:44:41,5,Mohon diperbaiki user interface nya entah kenapa layar hp bagian paling atas tidak bisa diklik di semua area tsb baik pada profil tombol favorite padahal saya pakai crypto exchange lainnya gak ada masalah di area tsb lancar saya menggunakan hp Xiaomi edit ternyata masalah utama adalah saya men setting sembunyikan notch pada hp saya pada saat saya seting normal nampak notch eror yg saya maksud diatas langsung hilang,-58,negatif,68
Kuncen Gaming,2025-04-13 05:25:14,3,Makin kesini makin anehh,2,positif,4
Mata Hati,2025-04-13 04:16:29,4,Kenapa hr ini April aplikasi Pluang tidak bisa di buka kak,-12,negatif,11
Pushtika In,2025-04-13 03:14:35,5,sy memilih pluang krn ratingnya dan sy memberi krn easy user dan cuan lumayan banyak tp minusnya skalian sy mohon agar ketika klik navigasi kembali itu posisinya biar bisa kembali pd posisi yg kt akses terakhir bukan kembali ke awal tampilan Misal kt buka halaman depan masuk ke aset ringkasan aset scroll ke list koin paling bawah masuk ke halaman koin misalnya koin pepe liat transaksi orderbook dll saat kembali itu malah ditampilkan halamat atas aset kalo bisa bia,-27,negatif,79
Akbr Jon,2025-04-12 23:15:10,5,cukup menarik tapi belum pakai uang yg banyak,-5,negatif,8
RianBLue chanel,2025-04-12 22:55:52,5,faster and simple,3,positif,3
Iwan Setiawan,2025-04-12 22:17:53,4,semoga kedepannya bisa ditarik lewat gopay atau dana,-1,negatif,8
Tarso Adiriyanto (Aco),2025-04-12 18:52:44,5,Semoga sesuai dengan jumlah bintangnya,3,positif,5
one heart to Al-qur'an,2025-04-12 18:42:20,5,sukses selalu pluang,3,positif,3
MUHAMAD RIZKI,2025-04-12 18:24:27,4,menarik ferivikasi mudah,-2,negatif,3
Iwan,2025-04-12 17:57:59,1,bahaya banget trading di peluang trading udah di sett ga bisa stoplose sampe saldo beres,-2,negatif,15
Bagas Panji,2025-04-12 16:47:35,5,aplikasi yang keren dan baik serta lancar untuk transaksi apapun cuman ini pas daftar foto ktp kenapa nama biodata nya berbeda sama nama di ktp nya sehingga saya mau melakukan penarikan saldo jadi tidak bisa hanya karena nama rek bank berbeda dengan nama yang ada di biodata mohon di perbaiki lagi akun saya dan semoga untuk kedepannya bisa jauh lebih baik dan lebih bagus lagi,-33,negatif,65
Ragil Prastiyo,2025-04-12 14:51:51,5,menunggu ada jual beli perak di aplikasi,-16,negatif,7
tommy affandy,2025-04-12 10:33:05,4,sempat bingung antara pluang atau indodax setelah dipikir dan liat review di semua aspek akhirnya mantap pilih pluang sejauh ini bagus tp ada sedikit keanehan sih di beberapa aspek di total saldo portofolio,-15,negatif,33
Asmi rin,2025-04-12 10:29:55,5,aplikasinya ringan mantap,2,positif,3
Imam Arifin,2025-04-12 08:33:46,1,Aku beri rating karena topup harus pakai BCA dan Bank permata kalau ingin kembali rating tolong diadakan lagi topup kayak bank lain seperti BRI mandiri BNI dllnya,-24,negatif,27
Izuddin Rahmat,2025-04-12 07:04:19,5,mudah efesien dll,2,positif,3
cep ceppi,2025-04-12 04:29:45,5,bagus dari pada aplikasi PINTU banyak bug dan maintenance x seminggu,-15,negatif,11
doni bartozs,2025-04-12 03:21:05,5,Sejauh ini aplikasinya cukup baik Namun diperangkat saya ada kendala tdk mendapatkan notifikasi saat menggunakan fitur pengingat harga Mohon bisa diupdate lagi ya min thanks,3,positif,25
Samuel Thonak,2025-04-12 01:08:38,5,terbaik dan sangat membantu dalam investasi,4,positif,6
ALVIN NZ,2025-04-12 00:57:20,1,total idr yg kita beli tidak terlihat mohon perlihatkan kembali,-10,negatif,10
Denk Thrasher,2025-04-11 17:21:23,5,mantap registrasiy cepat banget,7,positif,4
M Sahriyell,2025-04-11 14:38:11,5,sanggat mudah utuk di pahami cocok untuk pemula,4,positif,8
Cinta Terlarang,2025-04-11 12:35:24,5,Masih tahan pemula,-2,negatif,3
Afif Djay,2025-04-11 12:04:34,4,Ini gmna caranya top up pake livin gagal mulu Tolong bantu,-6,negatif,11
Lirik Lirik,2025-04-11 12:03:11,4,mau tanya knp sekarang tdk ada pilihan top up untuk BRI yh,2,positif,12
Muhamad Fajrur,2025-04-11 10:02:21,2,semuanya cool tapi saya deposit kenapa unpaid,-4,negatif,7
Ownick,2025-04-11 09:21:34,1,top up saldo melalui gopay sering berkendala alhasil saldo terpotong tapi sistemnya masih unpaid,10,positif,14
Wahyu dyah Indriyani,2025-04-11 06:47:55,5,aplikasi biadab udah coba ganti email puluhan kali gak keluar fertifikasi di email anehhh,-16,negatif,14
Encuz 123,2025-04-11 02:26:04,5,semoga dapat terpercaya,1,positif,3
Aries Barsito,2025-04-11 01:24:51,5,baik untuk permulaan,-1,negatif,3
Hardandi,2025-04-10 21:17:27,5,keren mudah dipahami,7,positif,3
Hp Awakjen,2025-04-10 20:36:56,5,sudah tahun lebih menggunakan pluang tanpa ada kendala,-6,negatif,8
Fredy Halim,2025-04-10 16:13:32,5,mantap nabung emas disini,3,positif,4
Rasyidah,2025-04-10 13:57:41,1,Kenapa akun pluang saya tak bisa login Setiap login ada bug bertuliskan error occurated dan juga ada tulisan situs lagi perbaikan mohon solusinya,-16,negatif,23
Subehan Subehan,2025-04-10 11:09:13,5,bagus keren modern,9,positif,3
Boerul channel,2025-04-10 10:03:52,5,belajar investasi yang mantul,-2,negatif,4
C a r r 01,2025-04-10 08:41:27,5,apk nya bagus cuman tampilkan bank lain lah biar gak ribet,-8,negatif,11
Deni pakuluhung1212,2025-04-10 07:40:05,1,Sangat kecewa dengan Pluang admin FE pakek wallet brpa pun nominal dan juga pakai bank permata siapa di sini pakai bank permata bisa dihitung lebih baik mandiri ADM kadang bingung mau masuk ke Crypto juga langsung minus kalau seperti ini terus lebih baik pindah exchange lain,-11,negatif,46
SENDIKA BARKAH,2025-04-10 04:31:55,5,Banyak exchange yang saya install hampir semua exchange resmi indo dan bbrpa dri luar saya cobain tapi yang paling nyaman dari top up kecepatan transaksi user friendly khususnya di PnL dan harga rata rata beli di Pluang tertera Pluang paling enak yaa meskipun kalo mau top up tanpa fee harus lebih dari tapi masih bisa di terima sii posisi saya bukan trader yaa saya memposisikan jangka panjang di Crypto dan Pluang mnrut saya cuku baik untuk itu,-30,negatif,77
Fery Putra Raden,2025-04-10 03:43:00,5,untuk saat ini rating bintang trus semogo platfom pluang selalu update yg terbaik saya menggunakan pluang untuk investasi sdh tahun alhamdullilah tidak ada kendala dan hampir sekali update Semoga mencapai rating jujur mamang ap pluang yg terbaik,-9,negatif,37
Cris Topher,2025-04-10 03:40:08,1,buruk sekali saya nunggu verifikasi untuk investasi di reksadana itu lama banget di sistem tulus akan selesai di Desember yang lebih membingungkan sekarang aja sudah tanggal april sampai detik ini aja belum ter verifikasi tolong pihak pluang tolong perbaiki hal ini,-36,negatif,41
Lutfi Andri,2025-04-10 01:06:57,5,sangat cepat dan mudah dalam regristrasi dan aplikasi sangat lancar,2,positif,10
Manajemen D1,2025-04-10 00:19:51,1,saya mau WD atau tarik tunai gagal terus ini kenapa sih terus gimana ini jadinya aplikasi gini,-7,negatif,17
Bustanul Arifin,2025-04-09 22:15:54,4,apa tidak bisa tambahkan fitur take profit otomatis buat saham pecahan kami kami yang punya kerja di siang hari kan ga mungkin semaleman mantengin marketnya malam,-7,negatif,26
Riki Miswar,2025-04-09 15:43:27,1,jangan pernah invet aset kripto di sini aplikasi penipuan delisting koin terus menerus,-10,negatif,13
rizky alfalah,2025-04-09 13:48:21,4,kalau udah bisa jadi pluang pro nambah bintang,-3,negatif,8
RIKO FRANSCISCO,2025-04-09 12:46:22,1,parah padahal untuk top up udah enakan pakai bank mandiri malah di hilangkan lagi sekarang mau top up dan penarikan pun Ribet tlong di perbaiki lagi untuk top up dan penarikan nya seperti dulu jngan di bikin ribet,-14,negatif,38
Allah berikan aku harta dunia,2025-04-09 12:23:03,1,kenapa Ng bisa top up pake akun dana padahal aku udah coba Sampe tetap aj Ng bisa udh ku cari di internet cara ny tetap Ng bisa padahal baru ku download mo suruh update kan baru aku sudah senang Lo ad apk yg ad akun dana,3,positif,46
Rendy Rendy,2025-04-09 11:09:05,1,kenapa saya top up via BCA tidak ada masuk ke pluang Saya sudah email tidak ada respon pengembalian kecewa bgt,-22,negatif,20
Zaki Tasnim,2025-04-09 07:50:30,1,tiap masuk suruh verifikasi email setelah verifikasi malah balik lagi kesana,-11,negatif,11
Afif Sudirman,2025-04-09 05:57:26,5,semoga tambah lebih baik lagi,3,positif,5
Prianggiri Bagas Krido,2025-04-09 04:52:13,1,Saya pribadi masih nyaman pakai treasury untuk nabung emas nyakurang rekom kalo di pluang,4,positif,14
Setya Hafit Pambudi,2025-04-09 04:25:49,5,saran saya tolong tambahkan fitur web seperti aplikasi pintu,-13,negatif,9
Fendi Elyon R,2025-04-09 04:04:59,5,Saya belum paham pasti bagaimana hasil akhirnya tapi saya coba investasi emas dulu disini karena ada sisa tabungan emas dari pindahan Tokopedia dulu Insya Allah bermanfaat bagi masa depan saya nanti FEND,-16,negatif,32
Budi Satria,2025-04-09 02:51:39,5,masih baru coba dulu,-1,negatif,4
Mixail Dainer,2025-04-09 02:51:24,5,aplikasi Sanga responsif cepat dan ringan semoga pas saya jual aset saya juga cepat hehe,-1,negatif,15
FEED EXE.,2025-04-09 02:33:47,5,untuk top up metode BRI kok di hapus,-5,negatif,8
cube dot,2025-04-09 01:22:51,5,cuma top up saja yang susah yang lain mudah,-18,negatif,9
Ramdani Dapur kita,2025-04-08 22:35:29,1,susah sekali download nya,-4,negatif,4
galih pitoyo,2025-04-08 16:07:51,5,Aplikasi yang mudah digunakan dan sangat membantu,-7,negatif,7
M.haris Safandi,2025-04-08 13:27:22,5,walau saldo gua turun terus mayan lah,-7,negatif,7
Ahmad Nuruddin,2025-04-08 12:52:06,5,aplikasi yg lengkap modern,-4,negatif,4
Mazt Sholeh,2025-04-08 09:54:22,3,kecewa banget kenapa fitur topup lewat bank mandirinya di tiadakan,-7,negatif,10
Agus Tomi,2025-04-08 09:54:19,5,Pluang investasi sangat bagus recommended,6,positif,5
197OO2O36 Muhammad Syahrul Khoiri,2025-04-08 08:55:18,1,gara gara diawal registrasi ada tulisan sudah selesai verifikasi dan bisa top up langsung lah topup tpi dananya gak masuk ke topup an bisa kasih solusi cuma ada bukti tf melalui bca virtual acount,-18,negatif,34
Aldo Aldo,2025-04-08 08:04:32,2,tambahin shoppepay la buat topup saldonya atau gak tambahin untuk top up pembayaran di Indomaret atau nggak minimarket yang lain la,-8,negatif,21
Rehan Knalpot,2025-04-08 05:54:36,5,aplikasi sat set top up nya ga ribet penarikannya pun sat set aplikasi Joss,-12,negatif,14
Muhamad Nata Rizky Raditya,2025-04-08 03:41:59,1,perbaikan BRIVA sama mandiri lama sampe minggu Market lagi Merah malah aplikasinya rusak Tolong segera diperbaiki,-11,negatif,16
I'M Arya,2025-04-08 03:24:49,5,gila sih nih aplikasi semua instrumen investasi ada di satu aplikasi goks dan membuat saya terkagum kagum begitu mulus aplikasinya dan modern banget,-24,negatif,23
Qohar abdul,2025-04-08 03:19:16,5,baru mulai menggunakan,1,positif,3
rafly septian,2025-04-07 23:58:03,1,aplikasi gajelas padahal udh bener transfer nya tapi coin nya ga masuk sama sekali aplikasi gajelas uninstall aja dah drpdd nyesel mana duitnya gabisa di kembaliin gajelas gajelas,-31,negatif,28
Mukti Ali,2025-04-07 22:03:57,5,jos berkesempatan untuk membangun usaha,-1,negatif,5
Ji Saa,2025-04-07 16:40:55,3,mohon diperbaiki lagi problem saya jaringan saya stabil buka di aplikasi lain lancar jaya kenapa di aplikasi peluang selalu bermasalah ke saya jual coin dan kenapa coin lain ikut terjual sungguh sangat kecewa,-44,negatif,33
Black Box Music,2025-04-07 14:53:40,2,Aplikasinya masih lola lemot jaringan full gk ngebuka sama sekali top up susah buka beli ngeleg apalah ini,-15,negatif,18
Rizal Wahyu Ramadhan,2025-04-07 14:40:03,1,error terus pluang saya inj padahal internet kenceng,-10,negatif,8
Muhamat Iswanto,2025-04-07 12:38:13,5,tq for your service and advice,4,positif,6
Huda Amrulloh,2025-04-07 10:33:54,5,good pokonya good ada agk ada masalah dikit karna terlalu makan banyak pajak,-22,negatif,13
Andrew Febriyanto,2025-04-07 09:51:35,4,mau verifikasi ktp susahnya padahal foto sudah sesuai intruksi dan foto tidak blur sama sekali tolong diperbaiki edit sudah di fix,-8,negatif,21
Arsya Putra,2025-04-07 09:36:21,1,ini kenapa sekarang top up lewat mandiri virtual account gabisa,-7,negatif,10
Dimas Prenanda,2025-04-07 09:36:04,1,aplikasi nya di bisa dibuka padahal sinyal nya bagus,-1,negatif,9
Muhamad Bayu Arnindy,2025-04-07 08:35:09,5,Bismillah bisa konsisten setiap bulan mudahan dgn apk ini di sudah jdi sultan,-2,negatif,13
Ridwan wahyudi,2025-04-07 08:00:43,5,keren semoga jadi orang sukses,4,positif,5
Ridwan Setiawan,2025-04-07 07:59:07,5,Mau lapor bug min kalau diandroid pas mau scroll bawah ke info kripto otomatis scroll ketas lagi,-3,negatif,17
Aan,2025-04-07 07:46:56,5,apk nya sangat bagus saya sudah menggunakan apk ini hampir tahun tapi tolong untuk Futures adakan fitur TP dan SL biar lebih membantu saat open posisi dan untuk yang lain udah oke sih menurutk sekian terimakasih,-15,negatif,36
Nur Rokhman,2025-04-07 07:26:17,5,aplikasi yang bagus NURO,-6,negatif,4
Ridwan,2025-04-07 06:17:22,5,cocok buat investasi yang dimana indo lagi berpotensi krismon kedepannya anda takut ya sama saya juga mending Disini sih,-15,negatif,19
Muhammad Andrian Abdussalam,2025-04-07 03:31:42,4,cukup baik dan bagus semoga disini saya bisa berinvestasi dengan baik aamiin,8,positif,12
Niss Rayy,2025-04-07 01:57:14,1,ini apk ga bisa kirim crypto Perusahaan miskin ya ga ada modal buat beli server,-7,negatif,15
Elmer Wilson,2025-04-06 23:37:17,4,penarikan nya cepet anjir tpi gua cuma rb si ga tau klo yg gde,-13,negatif,14
Jenal Alfianta,2025-04-06 22:18:25,1,kebanyakan fee ini aplikasi mikir lagi aja yang mau install bukannya untung malah rugi yang ada uang malah nyangkut,-30,negatif,19
Yuuu,2025-04-06 21:43:52,1,tidak bisa kirim terima bitcoin,-1,negatif,5
iwan xaro,2025-04-06 19:50:47,5,sangat puas mudah di mengerti,3,positif,5
Trex Yg,2025-04-06 15:46:19,5,tingkatkan terus kualitas keamanan nya dan kenyamanan nya ya ka,12,positif,10
Anto Ziha,2025-04-06 05:45:12,3,biaya transfer k bank mahal rp,1,positif,6
Feri Kuswanto,2025-04-06 05:20:18,5,mudah di gunakan dan mudah di pahami,4,positif,7
Malik Ibrahim,2025-04-05 23:05:37,5,good technology trading apps,2,positif,4
Aang Dede,2025-04-05 09:38:51,5,peluang milik anak bangsa keren,1,positif,5
Padli (Kudiw),2025-04-05 09:18:38,3,next time usahain harus bisa di tarik ke aplikasi dana,-5,negatif,10
Riski Maulana,2025-04-05 07:15:36,5,bagus aplikasi nya,-1,negatif,3
Chairani Manasye,2025-04-05 06:36:24,2,hai mengapa harga emas di pluang tidak sama dgn di apk lain membuat bingung,-1,negatif,14
Vicky Vriderik_Ak.,2025-04-05 02:00:53,5,sangat bagus untuk seseorang yang ingin investasi,-2,negatif,7
Rico Anderson,2025-04-05 00:53:49,5,mantap aplikasinya buat investasi emas tidak ngelag,-1,negatif,7
Mohammad Ivan,2025-04-04 22:07:51,5,enak banget buat trading,-2,negatif,4
Jr Is,2025-04-04 16:11:25,5,penarikan untuk ke pihak bank dapat potongan atau pun pajak tapi masih oke lah,-11,negatif,14
Syahril Azka,2025-04-04 15:54:17,5,nice aset clas,2,positif,3
Andre Purba,2025-04-04 14:47:01,5,Tolong lah buat dev nya jangan segala di kenain fee masa jual beli kena fee bukan itu aja mau top up kena fee mau narik kena fee segala gala kena fee mana lumayan lagi sekalian aja misalkan mau tarik kena fee k biar gk setiap transaksi kena fee biar lebih nyaman gitu itu aja sih yg lain udah oke,-24,negatif,59
Obrin Bramantyo,2025-04-04 12:41:16,5,selama ini sangat membantu,-4,negatif,4
dyan indah permana,2025-04-04 11:37:32,1,tiba tiba coin dilisting tidak ada pemberitahuan dan uang tidak bisa ditarik chat pun tidak ada solusi,-21,negatif,17
Adelia Puspa Indri,2025-04-04 09:50:36,5,exchange sangat ramah buat pemula dari segi tampilannya dan fiturnya memudahkan para trader pemula sayangnya spread dan komisi nya gede banget apalagi ditambah pajaknya buat kita para trader yang short term Investment tentu amat sangat merugikan kami jadi tolong untuk bisa diperkecil spread dan komisinya jika dibandingkan dengan exchange lain pluang tergolong lumayan mahal komisi nya,-18,negatif,56
Fitra Sulis,2025-04-04 08:52:35,4,Udh cukup pakai pluang buat inves emas selisih harga jual dan belinya spread beda lho apakah akan naik terus hinggap atau bahkan Okee ternyata memang sudah turun lagi jadi dan memang harga jual lebih lama di update daripada harga beli giliran harga beli naik tapi harga jual tetep sama tolong diperbaiki ya,2,positif,52
yanuar ramadhan,2025-04-04 08:25:00,5,saya sudah lama pakai aplikasi ini terbaik emang semoga makin maju dan makin banyak juga promo menarik,-8,negatif,17
TEGUH CILACAP,2025-04-04 08:23:00,5,the best application,3,positif,3
Muhammad Iqbal,2025-04-04 06:38:42,5,bagus semoga bisa membantu saya,-4,negatif,5
FERY SANGKURIANG (N g u p i L),2025-04-04 06:37:08,4,mudah di gunakan,2,positif,3
Ade bagus Maulana,2025-04-04 03:16:22,4,Mana nih katanya pluang mengadakan THR dapat juta bohongan ya,3,positif,10
Ahmad Fudianto,2025-04-04 02:09:57,5,Dari segi Keamanan gimana sudah terdaftar kemana aja,-4,negatif,8
fariz offical,2025-04-04 00:21:32,5,aplikasinya bagus tapi tolong diupgrade lagi trading futurenya mulai dari leverage tipe order chart,-4,negatif,14
Utama Mirzah,2025-04-03 19:33:13,3,Belum ada opsi Akan beli saham AS di harga tertentu dan jual di harga tertentu,1,positif,15
Agussahri Agussahri,2025-04-03 17:22:47,5,aplikasi ini bagus sekali,-2,negatif,4
Whisnu Sanjaya,2025-04-03 11:59:08,1,aplikasi stress masa spread emas nyampe k aplikasi sebelah aja cuma k doang,-20,negatif,13
Khairan Raziq Riauan,2025-04-03 11:46:34,5,keren lumayan lah,5,positif,3
Nasrullah bin Idris bin Arief bin Saleh,2025-04-03 10:18:31,5,mudah dan cepat proses aplikasinya,6,positif,5
Dikhi Achmad Dani,2025-04-03 09:45:22,1,gap kurs usd yang keterlaluan baik jual maupun beli yang terlalu gila adalah pembelian dollarnya,-23,negatif,15
Hafidan nuur irfan Al-hasbi,2025-04-03 09:14:24,1,foto ktp saya sudah jelas gak bisa diverivikasi,-5,negatif,8
Raymond Oppo,2025-04-03 08:36:54,1,Lol bget dah mau login malah disuruh daftar ulang,-9,negatif,9
Septian Rishal,2025-04-03 06:54:28,1,Verifikasi selalu error tidak mendeteksi kartu identitas Padahal pencahayaan terang kamera pakai pixel loh,-13,negatif,14
MasBrewog,2025-04-03 05:24:47,5,mantap ditingkatkan lagi sistem keamanannya yaaa,-4,negatif,6
Ali Syaeful,2025-04-02 23:20:28,1,woyyy kenapa transfer antar Bank Mandiri n Bank BRI dihilangkan Jangan pernah mempersulit orang orang yg sudah terlanjur pake ini aplikasi Kalo mw memperkaya diri ga kaya gini caranya fix ini bakalan kabur,-14,negatif,33
Angga Budi,2025-04-02 17:24:13,5,aplikasinya bagus dan menarik,-1,negatif,4
Jombi Abuabu,2025-04-02 15:14:13,5,semantara pilihan aplikasi terbaik banyak membantu dan mudah digunakan cs ramah cepat respon semoga tahun tercapai target finansial cia yio,6,positif,20
Arfa Market,2025-04-02 13:07:35,5,gatau bagus aja buat nabung jangka panjang,9,positif,7
Am'Ryday,2025-04-02 11:12:00,5,sangat cepat prosesnya,3,positif,3
Irawan Dony,2025-04-02 10:42:17,5,mantap dan mudah Sukses selalu pluang,5,positif,6
Sandi Purnama,2025-04-02 04:21:55,2,tambahin bang bjb dong min aku butuh banget mau ambil uang di bank bjb klw udah ada bank bjb nanti aku kasih bintang,-18,negatif,23
Muhammad Rafi,2025-04-02 03:20:19,5,sangat cepat saaat penarikan dalam hitung detik sangat berguna bagi saya terimakasih,10,positif,12
Rezqy Ardio Ramadhan,2025-04-02 02:09:24,2,maaf saya kasih bintang dua karena saat saya mau buat akun setelah mau selesai meminta no pin padahal saya baru buat malah meminta pin padahal saya baru buat tetapi saat saya tekan tombol lupa pin katanya email saya belum terverifikasi jadi gimana dong,-38,negatif,43
joe lie,2025-04-01 20:18:43,4,ini kenapa harga bisa beda dgn aplikasi lain justru coin yg kita pegang bisa beda jauh dgn aplikasi lain spt BNB uda di aplikasi lain termasuk coin market tp disini msh,-34,negatif,31
Lintang 78,2025-04-01 18:39:47,3,kenapa di akun saya tidak ada top up via VA BRI atau memang sekarang sudah tidak bisa pakai VA BRI,-17,negatif,20
